id,negation_utterance,negation_utterance_order,work_unit_id
8687517,not this time,254,WU-036
8687624,not Anna,695,WU-036
8687826,not Anna,563,WU-036
8688368,it's not a hat,861,WU-036
8688429,it not a hat,865,WU-036
8688456,not lid,1131,WU-036
8688477,not pottie,868,WU-036
8690008,it's not an accident when you push it is it,261,WU-036
8690540,I think not Liz,171,WU-036
8690781,I not a witch,342,WU-036
8691829,you got my finger then and not the paper,279,WU-036
8693328,that's not clothes,617,WU-036
8693607,I'm not Liz,394,WU-036
8693983,not a roundabout,545,WU-036
8694014,not this side,547,WU-036
8694524,it's not it's not a pepper,520,WU-036
8695525,no it's not your belt darling,1002,WU-036
8696244,it's not got it's not a pen is it,121,WU-036
8696383,it's not the bag today,130,WU-036
8696706,it's not the same stuff you see,321,WU-036
8697063,not the bag,1047,WU-036
8697212,not a lot left now,728,WU-036
8697767,that's not the dress,762,WU-036
8698401,not a big one,78,WU-036
8698686,Granddads want not chair,425,WU-036
8699326,no it's not a biscuit,307,WU-036
8699362,no it's not Dad sweetheart,711,WU-036
8699974,not Paddington,838,WU-036
8700410,it's not a tin of soup,788,WU-036
8701320,I'm not a pest,932,WU-036
8702001,oh that's not a good idea is it,648,WU-036
8702654,I'm not your personal property,1179,WU-036
8703040,I'm not your slave,1098,WU-036
8703205,no it's not pear,1238,WU-036
8704193,not thirty four and was knackered,934,WU-036
8704282,I'm not that strong,943,WU-036
8706320,it's not not the bag today,192,WU-036
8706933,oh no that's not a giraffe mummie,527,WU-036
8706969,it's not rubbish,826,WU-036
8707347,not my teeth,1194,WU-036
8707735,not the stone,1229,WU-036
8707881,you're not a you're not a very good Mummy are you,77,WU-036
8707912,it's not an eensie spider,80,WU-036
8708266,it's not lemonade is it,125,WU-036
8708886,not Nana,254,WU-036
8709114,it's not Lily,275,WU-036
8709598,that's not a page,449,WU-036
8709610,that's not a page no,450,WU-036
8709883,it's not a very talkative voice this morning,335,WU-036
8710363,it's not a car is it,318,WU-036
