id,negation_utterance,negation_utterance_order,work_unit_id
8341123,it's not a ball,1168,WU-007
8341150,you're not it's not a real pear,1195,WU-007
8341281,not a ball,1326,WU-007
8341283,it's not a ball,1328,WU-007
8341290,it's not a ball,1335,WU-007
8341295,that's not a ball,1340,WU-007
8341298,they're not balls Becky,1343,WU-007
8341883,it's not the right sort of game for today is it,724,WU-007
8342068,it's not a ball,843,WU-007
8342893,not b for bird,101,WU-007
8342995,that's not that's not the drill bit,548,WU-007
8343227,that's not Alf_Thompson,303,WU-007
8343307,that's not your brick,1603,WU-007
8343325,it's not his letter,310,WU-007
8343386,it's not the dog,140,WU-007
8343748,it's still not the right one is it,167,WU-007
8344164,you're not a nice little boy at all,1123,WU-007
8344515,you're not doing that on the cushions,217,WU-007
8345170,that's not the stop sign,578,WU-007
8345335,that's not Daddy,1094,WU-007
8345409,it's not a very big truck is it,466,WU-007
8345693,it's my game and not your game,310,WU-007
8345737,that's not fit on,622,WU-007
8345903,it's not a tree darling,1134,WU-007
8345972,they're not parcels,325,WU-007
8346307,it's not a boy,1166,WU-007
8346339,not my shirt,1293,WU-007
8346351,not your shirt,1294,WU-007
8346452,he not diesel,185,WU-007
8346510,it's not a plate is it,1183,WU-007
8347132,not bills,425,WU-007
8347154,that's not a thumb,422,WU-007
8347167,they're not bills,428,WU-007
8347215,not a baddy,868,WU-007
8347273,I not the sun's not out today,441,WU-007
8347294,that's not a boat,1243,WU-007
8347433,no we're not disappearing in the curtains are we,1254,WU-007
8347467,well that's not a job then if you're not doing anything is it,454,WU-007
8347777,it's not Ellie anymore,1400,WU-007
8347867,it's not a bang bang is it,1287,WU-007
8347985,that's not dolly is it,794,WU-007
8348262,it's not Ellie anymore,1434,WU-007
8348434,not a real one,1214,WU-007
8348596,you're not a very good husband are you Pat,517,WU-007
8348714,that's not the way to play with dollys at all,848,WU-007
8348716,it's not a bee,845,WU-007
8348892,not the xxx one,365,WU-007
8348945,that one's not a hole,550,WU-007
8349028,he's not your brick,1002,WU-007
8349084,it's not a hat,1377,WU-007
