id,negation_utterance,negation_utterance_order,work_unit_id
8404598,it's not a drink,214,WU-013
8405105,that's not Toby,200,WU-013
8405329,those are not pajamas,253,WU-013
8405672,that's not Mummy,473,WU-013
8405885,hello there baby not birdie,298,WU-013
8406157,that's not a sheep,472,WU-013
8406290,it's not a house,506,WU-013
8406606,it's not a bridge,473,WU-013
8406647,it's not Percy,590,WU-013
8406971,I think that's a Mummy giraffe though not a Mummy tiger,1581,WU-013
8407240,it's it's not a cow,576,WU-013
8407326,no that's not an orange,829,WU-013
8407475,it's not snap is it,426,WU-013
8407530,it's not a banana,842,WU-013
8407718,it's not a gate,1627,WU-013
8407942,no there're not six,618,WU-013
8408609,that's not a banana,910,WU-013
8408761,that's not an apple,919,WU-013
8409739,it's not a lion,1126,WU-013
8410095,it's not Toby,868,WU-013
8410126,I'm not a big lump I'm not,542,WU-013
8410144,you're not a big lump,543,WU-013
8410483,she's not a Mummy,58,WU-013
8410588,it's not it's not your go is it,613,WU-013
8410707,it's not a man look,911,WU-013
8410721,it's not a man,912,WU-013
8410869,they're not part of the same peach,1365,WU-013
8411152,not a hot+dog,1383,WU-013
8411291,that's not a bag,942,WU-013
8411766,it's not a dog,1034,WU-013
8412034,it's not a monkey,267,WU-013
8412597,that's not a cow,1208,WU-013
8412617,it's not a cow,1212,WU-013
8412791,that's not an orange Carl,1258,WU-013
8412870,it's not a neenaw,1271,WU-013
8413006,it's not a train,1304,WU-013
8413011,that's not a house,483,WU-013
8413014,it's not a train,1306,WU-013
8413024,it's not a house,486,WU-013
8414496,they're not eggs,1003,WU-013
8414760,that's not part of the shop,1022,WU-013
8415182,that not a Mummy,773,WU-013
8415304,that's not the Mummy piggy,780,WU-013
8415327,not P_C_Selby,1062,WU-013
8415799,that's not piglet is it,1555,WU-013
8415974,that's not Thomas,1351,WU-013
8416048,it's not Thomas,1355,WU-013
8416057,not a neenaw,1468,WU-013
8416089,that's not animals,2,WU-013
8416311,oh no it's not Nana and Granddad,1494,WU-013
