id,negation_utterance,negation_utterance_order,work_unit_id
8492658,that's not a van,694,WU-021
8492943,it's not a tunnel,654,WU-021
8493069,that's not the answer is it,820,WU-021
8493300,not Daddy's either,1249,WU-021
8493410,I'm not two,555,WU-021
8493581,that's not a pig,851,WU-021
8493703,that's not a pig,858,WU-021
8493750,it's not a baby,1055,WU-021
8493823,it's not daddy,732,WU-021
8493837,everybody's not daddy,733,WU-021
8493852,not daddy,734,WU-021
8494142,but it's not quite not the weather for the water+melon to be out yet,1301,WU-021
8494488,that's not a car,33,WU-021
8494530,not car,35,WU-021
8494554,it's not a car Carl,811,WU-021
8494860,not a cow,826,WU-021
8494913,not pillow case,795,WU-021
8495619,it's not a pig,967,WU-021
8495673,it's not a hat Dominic,1011,WU-021
8495785,not Thomas,1026,WU-021
8495843,trains do not drink orange+juice,204,WU-021
8496047,it's not a coal lorry is it,698,WU-021
8496190,fireman not cars,223,WU-021
8496221,not trains,719,WU-021
8496372,not chips,728,WU-021
8496617,not not duck,1076,WU-021
8496640,not Gordon ditch+water,743,WU-021
8496648,it's not a duck,1078,WU-021
8496652,not Gordon xxx,744,WU-021
8497115,but that's not Pooh_Bear,897,WU-021
8497140,that's not a hat actually,927,WU-021
8497148,that's not Pooh_Bear,899,WU-021
8497669,that's not Toby,803,WU-021
8497864,that's not a pig,1140,WU-021
8498019,it's not the eating one,973,WU-021
8498061,it's not chocolate,976,WU-021
8498077,that not sheep,1153,WU-021
8498323,it's not that nice you know,1313,WU-021
8498506,that's not an aeroplane,358,WU-021
8498800,not your car,367,WU-021
8499481,that's not a fire+engine is it,903,WU-021
8499495,not a very good one if it was,991,WU-021
8499531,not soup,1175,WU-021
8499676,it's not a knife,1040,WU-021
8499913,not tub,1629,WU-021
8499952,that's not a video,131,WU-021
8500250,not Porsche car,460,WU-021
8501566,you're not a good boy are you,1014,WU-021
8502184,not car,1329,WU-021
8503080,but that's not Dominic,1380,WU-021
