id,negation_utterance,negation_utterance_order,work_unit_id
8483546,it's not a lorry,133,WU-020
8483729,I'm not building a bridge if you're gonna knock it over,524,WU-020
8484002,not play bike,332,WU-020
8484099,that's not the egg box,1395,WU-020
8484234,I'm not miles away,554,WU-020
8484533,not James,362,WU-020
8484801,that's not Gordon,391,WU-020
8485137,not bus,189,WU-020
8485204,that's not the right answer,417,WU-020
8485976,it's not Gordon,652,WU-020
8486080,that's not a very wide bridge,1496,WU-020
8486138,it's not five,661,WU-020
8486178,that's not Tiggy anyway is it,1203,WU-020
8486215,this is not Tiggy,1205,WU-020
8486400,that's not a cat,164,WU-020
8486865,that's not Gordon,1548,WU-020
8486875,not a cuddle then,1581,WU-020
8486906,not car,680,WU-020
8487093,what's not fit in there,196,WU-020
8487129,not cat,499,WU-020
8487517,not Henry,220,WU-020
8487770,because it's not the doorbell,562,WU-020
8487936,that one not doors open,239,WU-020
8488095,it's not a digger,549,WU-020
8488260,but it's not the xxx digger,558,WU-020
8488618,that's not a train is it,795,WU-020
8488769,that's not a bridge is it,802,WU-020
8488930,not your trains,1347,WU-020
8488993,that's not the board is it,618,WU-020
8489312,not the harbor again,652,WU-020
8489482,it's not the biggest is it,1420,WU-020
8489489,it's not the biggest,1423,WU-020
8489607,that's not a very good bridge is it,306,WU-020
8490181,there's not tears,1046,WU-020
8490184,that's not Nana and Grandad,441,WU-020
8490405,that's not the paper is it,689,WU-020
8490541,not an aeroplane,676,WU-020
8490570,that's not Nana,464,WU-020
8490754,that not Grandad,477,WU-020
8491318,not cars,728,WU-020
8491319,not pinch train,741,WU-020
8491613,that's not Postman_Pat,534,WU-020
8491861,Henry not sofa,459,WU-020
8491887,it's not daddy,1827,WU-020
8491917,it's not daddy,1829,WU-020
8492103,it's not my drink my drink,570,WU-020
8492503,not chips,1200,WU-020
8492543,not chips,1202,WU-020
8492630,that's not a van,692,WU-020
8492645,that's not a van,693,WU-020
