id,negation_utterance,negation_utterance_order,work_unit_id
8349231,that's not car is it,739,WU-008
8349327,it's not a hot+crossed bun,1499,WU-008
8350693,I'm not a boy,669,WU-008
8350878,it's not the farmer,1125,WU-008
8350975,he's not a very good farmer is he,1131,WU-008
8351930,good job it's not a real one,341,WU-008
8352674,it's not Janet,60,WU-008
8352684,that's not the ramp is it,623,WU-008
8352961,not Anna,1513,WU-008
8352986,not Anna,1515,WU-008
8353264,this is not the one,1273,WU-008
8353278,is that not the one,1274,WU-008
8353851,there's not a rabbit in there is there,134,WU-008
8354127,I know they're not the same as Anna's but we don't really wanna get Anna's mixed up with ours,873,WU-008
8354142,not the truck,78,WU-008
8354227,he he's not a farmer,1329,WU-008
8355101,it's not a very big tunnel,395,WU-008
8355345,not the crayons,238,WU-008
8355444,it's not a bee at all,140,WU-008
8355474,that's not a pig,1269,WU-008
8355668,no it's not a fly,155,WU-008
8355751,that's not a goat,1420,WU-008
8356153,it's not a pen,184,WU-008
8356307,that's not the policeman is it,348,WU-008
8356644,it's not a color a proper color is it,301,WU-008
8356873,it's not a man at all,228,WU-008
8356947,it's not a kite no,233,WU-008
8356965,that's not a crane,239,WU-008
8357039,it's not a crane,244,WU-008
8358163,that's not my pan,1286,WU-008
8358480,it's not c for clown is it,476,WU-008
8359188,it's not a green ladder is it,458,WU-008
8359304,it's not a slide,465,WU-008
8359543,it's not the floor,386,WU-008
8359642,it's not a carrot,806,WU-008
8359907,that's not the aeroplane,564,WU-008
8359909,not while you're cutting her hair,1214,WU-008
8359994,not the door,687,WU-008
8360089,it's not an aeroplane,576,WU-008
8360270,it's not a real apple is it,844,WU-008
8360392,I'm sure it's not the snack bar,439,WU-008
8360474,not a long horned cow,1690,WU-008
8360517,not Rookie,1423,WU-008
8360642,it's not Heidi,867,WU-008
8360771,it's not a cow,877,WU-008
8362071,it's not a tree,815,WU-008
8362205,Noah at the play+group has curls doesn't he and he's not a dolly,1355,WU-008
8362382,it's not the best tray in the world is it,143,WU-008
8362404,it's not a tree,837,WU-008
8362725,it's not lipstick,695,WU-008
