id,negation_utterance,negation_utterance_order,work_unit_id
17678614,not a tiger birthday,373,WU-064
17679454,not a single dish,839,WU-064
17679717,I'll get you your glasses those are not yours they're not Mommy's either,1044,WU-064
17680358,not a good idea,517,WU-064
17681719,that's not Dada honey,660,WU-064
17681729,that's not Dada,661,WU-064
17681913,not the train table but the other piece,408,WU-064
17682055,it's not a big deal William,1123,WU-064
17682384,guess these are not the best things to eat,711,WU-064
17682400,they're not the best thing to eat right now they're very crunchy very loud,713,WU-064
17682422,honey this is not a skateboard,1185,WU-064
17682473,oh that's not a very nice way to treat the baby,1259,WU-064
17682673,honey that's not a ball,740,WU-064
17682740,that's not a raisin my love,1221,WU-064
17683862,but not William,1347,WU-064
17685306,but it's not a toy,1057,WU-064
17685467,this is not a toy,1076,WU-064
17686487,that's not a doggy xxx,1201,WU-064
17686560,not your nail your finger tip like this,892,WU-064
17687318,it's not food,1282,WU-064
17687439,the body William not the head,1304,WU-064
17687681,you know it's really not the end of the world,849,WU-064
17688570,is just not a great time,938,WU-064
17689535,no she is not Jane politely explained,1504,WU-064
17689669,it's not a swan William,1521,WU-064
17692217,that's not a baby what is that on the floor,1317,WU-064
17692379,that's not a baby what is that on the floor,1496,WU-064
17693473,it's not a pear it's a,822,WU-064
17693673,not a great beginning but oh well,40,WU-064
17694602,I'm gonna take that away okay that's not an indoor toy,127,WU-064
17695087,nope he's not xxx chair,520,WU-064
17695140,he's got a heinie yeah that's a tag honey that's not poops,531,WU-064
17695407,it's not a toy,840,WU-064
17695473,watch you know William this is not a sippy cup,194,WU-064
17695506,this is not a sippy cup,197,WU-064
17695556,xxx xxx we meant to color the paper not our fingers right,73,WU-064
17695694,not this one,217,WU-064
17695940,well that's not an answer,593,WU-064
17696690,William mommy doesn't have an orange it's not an option,1322,WU-064
17696773,that's not fingerpaint honey,174,WU-064
17696783,it's not not the police car is it,588,WU-064
17696830,I'm not a firefighter,308,WU-064
17696841,so that's not an option,1333,WU-064
17696842,I'm not a firefighter,309,WU-064
17696858,you're not a firefighter,310,WU-064
17696890,it's not a story I thought we'd do a puzzle,679,WU-064
17696910,that's not a Mini Cooper,299,WU-064
17696922,that's not a Mini Cooper,300,WU-064
17697011,that's not a pear honey,1346,WU-064
17697045,but it's not a pear,1349,WU-064
