id,negation_utterance,negation_utterance_order,work_unit_id
8301971,he's not a baby,348,WU-004
8302023,and not Mama's either,1569,WU-004
8302275,that's that's not the next one is it,919,WU-004
8302349,no that's not that's not the next one,926,WU-004
8302915,it's not a ball,1003,WU-004
8303613,not Anne_in_the_box,96,WU-004
8303623,not Anne_in_the_box,97,WU-004
8303873,um that's not an egg cup,117,WU-004
8304981,it's not a rat rat,183,WU-004
8306726,not Clever_Cat,361,WU-004
8306742,not Clever_Cat,362,WU-004
8306766,it's not a hat is it,37,WU-004
8307443,that's that's not the right way up darling is it,79,WU-004
8307885,we're not playing that game,110,WU-004
8308021,it's not a goat,1309,WU-004
8308319,not trousers,138,WU-004
8308683,it's not a green one,155,WU-004
8308710,that's not a green one either,157,WU-004
8308753,that's not the way to treat your digger is it,155,WU-004
8309006,that's not the way to catch is it,471,WU-004
8309106,not a very good car really is it,179,WU-004
8309509,that's not a roundabout,533,WU-004
8310753,that's not the way to sail your boat is it,279,WU-004
8312428,that's not the drill bit,164,WU-004
8312526,there's not room between my legs for any more,1313,WU-004
8312683,that's not Postman_Pat is it,391,WU-004
8312720,it's not a car,697,WU-004
8312861,that not my name,709,WU-004
8313439,not a tractor there,255,WU-004
8313610,it's not the king,445,WU-004
8313826,he might be a Daddy but he's not your Daddy,759,WU-004
8314422,no that's not the hole for it,793,WU-004
8314927,that's not the three bear's house,531,WU-004
8315204,no that's not the policeman's head,837,WU-004
8315479,yes but that's not the clown's head is it,852,WU-004
8315717,no it's not cheese,863,WU-004
8315784,that's that's not your hammer,61,WU-004
8315876,he said a white hammer for a little girl and you're not a little girl,66,WU-004
8315941,that it's not the tractor,580,WU-004
8316143,so it's not a problem is it,21,WU-004
8316310,that's not a book darling,715,WU-004
8316465,I'm not the shop+keeper,1541,WU-004
8316677,they're not kites,734,WU-004
8316773,it's not Daddy on the boat no,633,WU-004
8317017,that's not the boat,646,WU-004
8317376,that's not a chip lolly,1591,WU-004
8317897,this one's not mine's,1358,WU-004
8318409,not a top bit,1018,WU-004
8318610,it's not friend of mine,208,WU-004
8318844,it not burst no,750,WU-004
