id,negation_utterance,negation_utterance_order,work_unit_id
17368242,that's not the police car,1204,WU-052
17368719,I mean uh not Butch,28,WU-052
17368807,except it was Henry not Percy there he goes he's on the break down train,363,WU-052
17370298,yyy xxx is it not a xxx yyy,111,WU-052
17371622,now it's not a hat,309,WU-052
17371652,it's not a bird bath it's only for me,311,WU-052
17372300,no they're not elephant bars but that's a good idea,541,WU-052
17372379,xxx it's not a game we can play in any other games,250,WU-052
17372430,is not a game,253,WU-052
17372902,not a train anymore,282,WU-052
17373116,it's not finger paint it's brush paint,956,WU-052
17373634,that's not the way you paint,985,WU-052
17373652,that's not the way you paint,986,WU-052
17373668,that's not the way you paint,987,WU-052
17373969,it's not a tall enough hill,221,WU-052
17374074,it's not finger paints it's brush paints,1012,WU-052
17374415,not my shirt,370,WU-052
17374427,it's covered with dirt not my pants that sat in the ants ants in my pants tonight,371,WU-052
17375216,yeah that was not the best idea in the world was it,828,WU-052
17375638,not the pig,1135,WU-052
17376006,that's not a door is it,477,WU-052
17378838,it's not a v anymore,356,WU-052
17379344,that's not George,1110,WU-052
17379376,not my lap,682,WU-052
17379394,that's not George,1114,WU-052
17379405,no it's definitely not George,1115,WU-052
17379778,well Gordon said Sir Topham Hatt I knew you wanted a panoramic view but this is not the way to achieve it,567,WU-052
17382791,it's not a bird bath is it a bowl for your cat,948,WU-052
17383228,that's not an animal,1213,WU-052
17383250,oh that's not your fault,1384,WU-052
17383998,but that's not the way to go about getting it,1034,WU-052
17384348,not a wink,1457,WU-052
17384370,not a,1459,WU-052
17384377,now it's not a house at all you have to build it again,1048,WU-052
17384383,not a wink,1460,WU-052
17384405,not a wink said Rusty,1462,WU-052
17384431,not a wink said Butch,1464,WU-052
17385501,Daisy oh I'm sorry that's not Daisy that's Daffy,249,WU-052
17386196,mm Snowman's hands are not that good,602,WU-052
17386517,that's not daddy that's daddy,778,WU-052
17387200,scissors no you can't play with scissors those are not toys,412,WU-052
17387259,Amanda not Amanda Amanda,1156,WU-052
17387364,yeah actually Pooh Bear's not a doggie,879,WU-052
17387962,that one's not road,1211,WU-052
17387982,that one's not road,1213,WU-052
17388003,no that's not Daddy,1616,WU-052
17389120,no that's not a sorry,1717,WU-052
17389163,that's not a sorry,1721,WU-052
17389848,that's not a sorry,1723,WU-052
17392147,xxx that's not auntie who is that,148,WU-052
