id,negation_utterance,negation_utterance_order,work_unit_id
8843736,not a tractor noise,359,WU-046
8843841,remember they're not your toys are they,1072,WU-046
8843957,that's not a rabbit,523,WU-046
8844033,he's not a train,282,WU-046
8844297,I'm not a very good digger driver am I,295,WU-046
8844419,darling it's not a rabbit,557,WU-046
8844599,ah well that's not a rhino is it,425,WU-046
8845484,that's not a little one,1787,WU-046
8845513,that's not a sheep,634,WU-046
8845652,it's not a rabbit,645,WU-046
8845716,but it's certainly not a rabbit,650,WU-046
8846214,it's not a w for Warren,191,WU-046
8846348,but they're not trains,425,WU-046
8846791,not pounds,939,WU-046
8847037,and a not a rhino,65,WU-046
8847129,not combs you're sposta use on your hair,585,WU-046
8847147,not the cat's or the cow's,261,WU-046
8847990,he's not cross there,504,WU-046
8848104,not a police car,102,WU-046
8848158,not a police car,105,WU-046
8848213,not the wheels on the horse,530,WU-046
8849721,it's not Nana,1088,WU-046
8849749,it's Anna not Nana,1090,WU-046
8849758,not the trousers,840,WU-046
8850150,that's not Duke,625,WU-046
8850434,not holes,243,WU-046
8851107,not vehicles,455,WU-046
8851576,it's not very polite to give Mummy tea and not Anna,365,WU-046
8851647,not pigeons,263,WU-046
8851950,that's not a cup and saucer,750,WU-046
8852489,well it's not a garage anyway,544,WU-046
8852507,that's not a key pet,426,WU-046
8852608,it's not a lady,48,WU-046
8853121,and you're not a naughty boy,1052,WU-046
8853291,that's not a baby tiger,1064,WU-046
8853297,you're not a baby anymore,1087,WU-046
8853982,that one not fit on there,132,WU-046
8854312,that's not a carrot,887,WU-046
8854343,you're not four yet,154,WU-046
8854407,maybe you're not a prodigy,158,WU-046
8854816,that one not fit in there,708,WU-046
8854831,that one not fit there,709,WU-046
8854845,that's not Annie,571,WU-046
8855203,that one not fit there,729,WU-046
8855265,no it's not a dog's bone,1210,WU-046
8855300,not a high caravan,185,WU-046
8856224,not a trailer,766,WU-046
8856316,it's not a good idea to bite it,601,WU-046
8856740,that's not your baby tiger,694,WU-046
8857233,it's not bed time,854,WU-046
