id,negation_utterance,negation_utterance_order,work_unit_id
8553441,but it's not the one that I like,1818,WU-027
8553644,not a lion,1250,WU-027
8554506,not counters,83,WU-027
8554886,that's not a good idea to play with is it,122,WU-027
8554994,it's not Peter_Jo,134,WU-027
8555068,not a big jigsaw fan are you,544,WU-027
8555194,that's not cheese,1841,WU-027
8555809,that's not the same is it,202,WU-027
8555832,it's not the same as that one,204,WU-027
8556593,that's not a bucket,715,WU-027
8556712,that's not a radiator,286,WU-027
8557143,not Andy,24,WU-027
8557203,they're not toys are they,359,WU-027
8557222,that's not my bow,325,WU-027
8557302,it's not a very woolly hat,1801,WU-027
8557457,it's not a van anymore,744,WU-027
8558541,that's not the one that matches,870,WU-027
8558634,not the second time,129,WU-027
8559019,not a poker,1075,WU-027
8559050,that's not a bit of fruit is it,169,WU-027
8559088,not Tommy_tomato,350,WU-027
8559715,it's not the same Cassie,215,WU-027
8559777,but it's not the same Cassie,219,WU-027
8559813,it's not a toy is it,1132,WU-027
8560086,not wardrobe,7,WU-027
8560189,Justin's not a baby,246,WU-027
8560532,not the big toy+shop,572,WU-027
8560548,not the big one,573,WU-027
8560848,nots Mothercare,594,WU-027
8561567,that's not the sea,347,WU-027
8561696,it's not that heavy,1056,WU-027
8561949,that's not two,1030,WU-027
8562230,but not Daniel_pots,204,WU-027
8562261,not trolley shopping,581,WU-027
8562441,it's not a doctor,736,WU-027
8562763,not a horse,758,WU-027
8564166,that's not the Barbie song,848,WU-027
8564324,that one's not the train from Caroline's box is he,1234,WU-027
8564334,that's not a post office,835,WU-027
8564533,I know but it's not your turn,41,WU-027
8564548,it's not a lion,1247,WU-027
8564687,they're not buggers Gail,167,WU-027
8564795,but it's not your turn is it,58,WU-027
8564837,that's not an animal,743,WU-027
8564857,not whacker,1302,WU-027
8565221,not the,889,WU-027
8565250,not a ballet dancer,891,WU-027
8565329,it's not a song,207,WU-027
8565641,it's probably not blood at all,1355,WU-027
8565692,that's not blood is it,1358,WU-027
