id,negation_utterance,negation_utterance_order,work_unit_id
8396677,they're not rice,1058,WU-012
8397206,I not an orange,1611,WU-012
8397214,you're not an orange,1612,WU-012
8397406,I'm not a Becky,1652,WU-012
8397840,they're not red either are they,227,WU-012
8397894,it's not a kangaroo,1095,WU-012
8398200,they are not sheeps,1684,WU-012
8398235,they're not sheep actually,1686,WU-012
8398259,not bunnys eat rabbits,258,WU-012
8398328,it's not cat,704,WU-012
8398511,it's not elephant,715,WU-012
8398526,definitely not an elephant,716,WU-012
8398827,it's not a horrible doggie,1721,WU-012
8399005,well that's not the right one at all is it,158,WU-012
8399044,that's not apple either,1218,WU-012
8399047,not a hope,161,WU-012
8399085,do you not press Daddy's bridges as hard or does he build stronger ones,194,WU-012
8399186,not a baby one,1225,WU-012
8399202,it's not a,1226,WU-012
8399210,that's not a Mummy,317,WU-012
8399228,not a,1228,WU-012
8399518,you're not a baby,1260,WU-012
8399581,it's not a rainbow,847,WU-012
8399616,I'm not a monster,775,WU-012
8399638,I'm not a monster,777,WU-012
8400078,not a hat,1297,WU-012
8400104,not a hat,1299,WU-012
8400118,not a hat,1300,WU-012
8400227,I'm not Mummy,830,WU-012
8400299,not not this brown,95,WU-012
8400329,because she's not a baby now,103,WU-012
8400388,not a,1320,WU-012
8400717,they're not balls,420,WU-012
8400758,they're not balls Becky,423,WU-012
8400844,that's not his tummy,1280,WU-012
8400897,it's not his tummy,1284,WU-012
8401145,it's not a yellow cloth,721,WU-012
8401750,it's not that bad is it,201,WU-012
8401788,they're not duckies,768,WU-012
8401850,it's not a duck,773,WU-012
8401956,it's not an egg,781,WU-012
8401995,that's not an egg,784,WU-012
8402034,that's not a spider is it,1436,WU-012
8403204,not tennis,302,WU-012
8403217,that's not a dress,866,WU-012
8403678,that's not a goat,1057,WU-012
8403816,but not the key to the train,310,WU-012
8404118,it's not bit big,329,WU-012
8404317,that's not Fireman_sam,387,WU-012
8404397,it's not a drink,144,WU-012
