id,negation_utterance,negation_utterance_order,work_unit_id
17392978,that's not daddy who is that,164,WU-053
17393365,a different Nancy not the one across the street,344,WU-053
17394774,you think mommy's not a very good artist,488,WU-053
17395023,it's not the wiper the wiper's right here,799,WU-053
17395429,they're not ordinary magic+markers,246,WU-053
17399673,that's not Pooh Bear that's Elmo silly,185,WU-053
17400582,those are not your tiptoes,1356,WU-053
17401476,that's not t,711,WU-053
17401481,that's not a t what is it,712,WU-053
17401636,it's not cookie,735,WU-053
17401643,no it's definitely not a cookie,736,WU-053
17403583,it's not a scotch+tape,649,WU-053
17403720,but it's not a kangaroo is it,1140,WU-053
17404201,not a jumping+bean not a frog not a monkey not a frog,1232,WU-053
17404565,no he's not a jumping+bean,1300,WU-053
17404855,oh no not the buckle again,254,WU-053
17405253,natural wood is not your material honey,278,WU-053
17405468,huh that's not my teddy it's paws are too wooly,61,WU-053
17405531,that's not my teddy it's nose is too soft,65,WU-053
17405548,huh that's not my teddy it's paws are too rough,66,WU-053
17405558,that's not my teddy it's eyes are too shiny,67,WU-053
17405567,that's not my teddy it's ears are too fuzzy,68,WU-053
17405625,that's not a good idea to stand in your hat,1402,WU-053
17407327,yyy not Pooh,1042,WU-053
17408119,not your daddy but someone else's,1239,WU-053
17409065,you're not fury,1285,WU-053
17409658,not this one the one you hafta ride in huh,1228,WU-053
17413309,that's not daddy,813,WU-053
17415994,let's turn it off sweetie because it's not behaving right,924,WU-053
17416595,oh that's not the one with the monkey in it honey,136,WU-053
17417540,no that's not the mixer whada we put what's this one,116,WU-053
17417693,no he's not an apple,441,WU-053
17418220,not the ducks,254,WU-053
17418934,I know that's not your sippy cup,1154,WU-053
17422604,oh it's not a microphone what is it,1594,WU-053
17423321,no she is not Jane politely explained,1095,WU-053
17424279,well let's not wipe Manuela's nose with that because she doesn't have our germs,1562,WU-053
17428547,they think it would be cheaper if not the same price,868,WU-053
17428618,oh that's not Birthday_Bear that's,1810,WU-053
17428872,because it's not a star shape,988,WU-053
17429206,I said these are not peas of course they're not these are green drops from Greenland,1006,WU-053
17429490,no not the clip near the mouth honey no no,1458,WU-053
17429512,no I'm not a llama,1465,WU-053
17430067,in any sense she's kind of recognizing that she did something that she's not a hundred percent proud of,947,WU-053
17430149,I'm not a circus freak you can't make me perform,206,WU-053
17430836,no not a big eater like she eats so much,1001,WU-053
17430991,she's not I would say she's not a big carbohydrates fan but she'll eat any kind of cookie or cake,1010,WU-053
17433047,we bought the Sit_N_Spin for Tamar not the Polly pockets,955,WU-053
17434883,that's not a good place for it,1595,WU-053
17435218,I know this one's not a rocking chair,1352,WU-053
