id,negation_utterance,negation_utterance_order,work_unit_id
17718709,I'm not the puzzle,1322,WU-066
17719216,it's not a,1360,WU-066
17719318,well it's not up to Michael he's not the only person,1048,WU-066
17719325,I'm not a owner,167,WU-066
17719372,Michael doesn't work he's got first communities to his xxx,1053,WU-066
17719500,he said he agreed the drill wasn't the way to go because of the corroded and and rusted,1062,WU-066
17719839,not a soccer shirt it's a firemen shirt,440,WU-066
17720189,it's not Christmas time though,139,WU-066
17720438,is not my guitar,155,WU-066
17720487,that's not Uncle Dean honey,249,WU-066
17720537,that's not Uncle Dean my love,253,WU-066
17722183,no that that's not a toy give it to me,132,WU-066
17722968,well not color what letter,1200,WU-066
17723140,it's not a railroad track anymore it's a road,584,WU-066
17723587,this is not an this was not an outside truck,382,WU-066
17723714,you know what William you're not fun to play with like this,628,WU-066
17723961,this is not an outside truck either there buddy,408,WU-066
17724017,wait wait a minute it's it's tuesday though there's no it's not trash day,2048,WU-066
17724558,this is not two,1348,WU-066
17724695,that's not a good idea,381,WU-066
17725492,is not your ball is my ball,455,WU-066
17726362,well we could but it's not fun to get to play in the rain even if you have a raincoat on,533,WU-066
17726420,that's not a very good choice William,1517,WU-066
17726438,it's not a ball,1519,WU-066
17728015,they're they're not balls,1531,WU-066
17728089,I guess if you eat a whole box of cereal it's not not,1540,WU-066
17728379,oh actually it's not a good idea,672,WU-066
17728620,it's not for it's not a toy though right because you gotta be careful it cuts you it hurts,949,WU-066
17728639,well I it doesn't sound like there's is there there's not a real choice right,701,WU-066
17729296,you've been spitting lately that's not a good thing,1655,WU-066
17729365,no it's not Amanda,684,WU-066
17729486,well that's not a good idea because it's cold and it's raining,633,WU-066
17729575,xxx only this not my table,1047,WU-066
17729695,oh careful hey hey hey no no no that's not a game okay,1059,WU-066
17732022,that's not a good idea,1272,WU-066
17732403,get a small truck not that big one,1386,WU-066
17732955,that's not a good idea,1354,WU-066
17737880,is not is not a bear,1542,WU-066
17739730,this is not a backpack this is bag,1189,WU-066
17744024,yeah ya hafta be careful honey he that's not a toy lemme see,956,WU-066
17750075,no it's not lion it's a Spiderman,528,WU-066
17750321,that's not a good idea,543,WU-066
