id,negation_utterance,negation_utterance_order,work_unit_id
8579009,not a toy,1458,WU-029
8579180,not poppers,1082,WU-029
8579918,it's not a train,516,WU-029
8579923,it's not a four that xxx,770,WU-029
8579927,it's not an aeroplane either,519,WU-029
8580187,there's not room for me in there now,1147,WU-029
8580357,not those ones,1016,WU-029
8580566,that's not an egg,857,WU-029
8581616,that's not your finger,48,WU-029
8581761,not a lot is there,63,WU-029
8581774,not a lot,64,WU-029
8581857,that's not the red one is it,63,WU-029
8582497,that's not looser is it,914,WU-029
8582828,that's not the front,186,WU-029
8582870,it's not Tilly Tiny xxx,190,WU-029
8583491,it's not her fault,1012,WU-029
8584028,not a good idea,289,WU-029
8584692,not Wendolene,68,WU-029
8584705,no not Wendolene,69,WU-029
8584738,not Wallace and Grommit,72,WU-029
8584761,not Wallace and Grommit,74,WU-029
8584794,not Wallace and Grommit,76,WU-029
8584983,that's not a pillow,916,WU-029
8585235,I'm not pulling that off,378,WU-029
8585635,that's not a flute that way round is it,397,WU-029
8586151,it's not the greatest fit though is it,1174,WU-029
8586455,that's not the name of the team,1221,WU-029
8587315,no that's not toys,1458,WU-029
8588197,it's not a cake,599,WU-029
8588555,not building,1343,WU-029
8588610,that's not a tiger is it,1181,WU-029
8588762,not the actual books,330,WU-029
8589095,they're not chips,664,WU-029
8589111,you know they're not chips,665,WU-029
8589321,it's not a book is it,401,WU-029
8589462,it's not a bit like an apple,680,WU-029
8589723,I hope it's not the same chap that we keep getting to fix the flipping boiler,386,WU-029
8590495,not the dustbin,740,WU-029
8590558,it's not a hat,474,WU-029
8590663,it's not the same man is it,447,WU-029
8591081,it's not a coat,1463,WU-029
8591125,it's not a coat,1466,WU-029
8591540,you're not undressing again are you,5,WU-029
8592692,it is not sweeties,391,WU-029
8592938,the manager not the duchess,1576,WU-029
8593173,not teddy,419,WU-029
8593560,not your crayons,660,WU-029
8594117,that's not a good idea inside is it,480,WU-029
8594204,that's not a toy,485,WU-029
8594432,not the same is it,708,WU-029
