id,negation_utterance,negation_utterance_order,work_unit_id
8530514,it's not a lion,1536,WU-025
8530541,not a lion,1542,WU-025
8531071,you're not a parrot parrot,2004,WU-025
8531320,they're not the same color are they,1264,WU-025
8531495,not the back door,568,WU-025
8531717,that's not a the bricks is it,1353,WU-025
8532220,that is not a bridge at the moment Dominic,1584,WU-025
8532587,that's not the same size is it,1392,WU-025
8533078,not the lorry,869,WU-025
8533124,this one not a bridge,1667,WU-025
8533234,not a first,1241,WU-025
8533637,that's not the biggest is it,956,WU-025
8533983,that's not the biggest either,988,WU-025
8534427,that's not bricks,1555,WU-025
8535869,it not Thomas,1616,WU-025
8536404,not two,1895,WU-025
8536422,not two,1896,WU-025
8536423,it means that one's not the right one to go on next,1081,WU-025
8536615,not two eyes,74,WU-025
8536628,not two eyes,75,WU-025
8536741,if it doesn't go down to the bottom it's not the right one,1101,WU-025
8536934,not the cafe,142,WU-025
8536956,not traffic,94,WU-025
8536966,not traffic,95,WU-025
8537001,because that's not a tower,1163,WU-025
8537395,that's one not a penguin,1190,WU-025
8537447,it's not a very good one,1949,WU-025
8538361,not chicken burger,1253,WU-025
8538537,it's not chocolate,1788,WU-025
8538738,you're not getting out your train+set unless you put some of these away,1058,WU-025
8538925,not the helicopter again,1774,WU-025
8538969,not a boat isn't it,272,WU-025
8539279,I not a Darlik,1311,WU-025
8539295,it's not Spiderman,389,WU-025
8539348,it's not a pretty sight,1801,WU-025
8539739,that's not Mr_Plod,308,WU-025
8539749,it's not a lady now,1294,WU-025
8539765,that's not a lady,1295,WU-025
8539782,she's not an animal is she,75,WU-025
8539821,not Rolf I don't think,423,WU-025
8540020,at least not pigs that I know,1843,WU-025
8540407,not fire Granny's house,316,WU-025
8540606,it's not a bit tricky,444,WU-025
8540659,not doves,345,WU-025
8540984,it's not apple is it,434,WU-025
8541011,not apple,437,WU-025
8541068,not a pub,241,WU-025
8541313,there's not room in there is there,470,WU-025
8541627,not Robin's that,454,WU-025
8541660,not Spiderman and Robin,457,WU-025
