id,negation_utterance,negation_utterance_order,work_unit_id
8385090,that's not a plaster,369,WU-011
8385219,they're not ears,319,WU-011
8385252,I'm not a ghost,864,WU-011
8385845,not the Mummy and Daddy,407,WU-011
8386303,that's not a baby doggie,947,WU-011
8386422,they're not scissors,957,WU-011
8386593,it's not a duck,986,WU-011
8386991,that's not a xxx,11,WU-011
8387184,it's not a goat is it,448,WU-011
8387231,it's not a goat Becky,451,WU-011
8387629,that's not carrots,1031,WU-011
8387767,that's not the Daddy horse Becky,1051,WU-011
8387853,it's not a goat,491,WU-011
8387929,it's not a peach,1053,WU-011
8388188,not roly roly_pie,557,WU-011
8388245,that's not his mother,1053,WU-011
8388948,it's not an orange,1084,WU-011
8389344,that's not a banana,1135,WU-011
8389376,it's not a circle,637,WU-011
8389605,that's not a very nice thing to say,1159,WU-011
8390291,these not claws,1171,WU-011
8390509,you not a milk now,1214,WU-011
8390784,that's not a cake,1213,WU-011
8390921,it's not a cake,1221,WU-011
8391645,that's not a necklace,711,WU-011
8391841,it's not a lemon,1237,WU-011
8391846,you're not my favorite customer you know,1425,WU-011
8391899,that's not her dress,303,WU-011
8392223,that's not a red pepper,1257,WU-011
8392304,they're not eggs,1292,WU-011
8392320,those not eggs,1293,WU-011
8392326,he's a bit floppy because he's not a teddy,799,WU-011
8392695,it's not a lemon,1323,WU-011
8393493,not a lemon,1370,WU-011
8393558,it's not a cake,1378,WU-011
8393792,not corns,879,WU-011
8394102,so you're not a little girl now then,898,WU-011
8394334,so it's not it's not a sun+dial after all is it,446,WU-011
8394339,that's not Sukie,920,WU-011
8394618,it's not a football,922,WU-011
8394744,it's not an orange,1432,WU-011
8394966,it's not holiday is it,44,WU-011
8395046,it was not holiday,49,WU-011
8395059,it's not holiday,50,WU-011
8395074,it's not holiday,51,WU-011
8395885,that's not the baby goat,953,WU-011
8395908,it's not a bell,1005,WU-011
8396006,that's not a saucepan is it Becky,1023,WU-011
8396589,that's not cabbage,1052,WU-011
8396622,they're not crisps,1054,WU-011
