id,negation_utterance,negation_utterance_order,work_unit_id
8733790,it's not Coco_Pops,112,WU-038
8733941,not this weekend,563,WU-038
8734577,it's not Beebo,157,WU-038
8734612,that's not his name,160,WU-038
8734993,not a reg,180,WU-038
8735300,that's not a crayon,500,WU-038
8735650,it's not beer,685,WU-038
8735701,it's not beer,690,WU-038
8735795,it's not beer,699,WU-038
8735868,it's not beer,705,WU-038
8736688,not the water,768,WU-038
8736809,not lady,17,WU-038
8736948,what are they then if they're not wheels,355,WU-038
8737643,more interested in not blowing that balloon up aren't you,393,WU-038
8738047,not creche,26,WU-038
8739176,I am not a climbing frame,495,WU-038
8739193,you can sit on my knee but I'm not being climbed over,496,WU-038
8739548,not lots and lots_of water,93,WU-038
8739705,it's not a game,549,WU-038
8739923,that not a tree,228,WU-038
8741126,she's not a naughty dolly,1073,WU-038
8741217,not a circle,798,WU-038
8741318,it's not a boat,804,WU-038
8741474,but you're not a baked bean girl are you,1095,WU-038
8742211,not sausage,1139,WU-038
8743487,because it's not your time to start school,353,WU-038
8743858,it's not a pie,804,WU-038
8743935,that's that's not soup,1087,WU-038
8744001,not this end,314,WU-038
8744137,not six eleven,748,WU-038
8744210,not six eleven,753,WU-038
8744661,it's not your name,357,WU-038
8745541,pretend you pretend you're in a boat today not a bath,1200,WU-038
8745886,I'm not a baby,594,WU-038
8745901,you don't rip them Nicole because they're not our toys do you,1229,WU-038
8745945,Nicole not a baby anymore,598,WU-038
8746140,not fifteen,609,WU-038
8746252,it's not a ball,1250,WU-038
8746397,there's not two rabbits,500,WU-038
8746478,it's a bus not a book,533,WU-038
8747182,that's not a monkey,1298,WU-038
8747393,it's not a goat,1012,WU-038
8747590,they're not cows,987,WU-038
8747993,that not a goose,995,WU-038
8748010,not a goose,996,WU-038
8748098,that's not a hot+dog,1054,WU-038
8748628,it's not Mole,1241,WU-038
8749009,it's not a pretty one is it,780,WU-038
8749642,it's not cheese,711,WU-038
8749764,not a knife and a fork,271,WU-038
