id,negation_utterance,negation_utterance_order,work_unit_id
17608499,well you know what you should concentrate on chewing instead of lets not talk while you're chewing those pieces of kiwi,795,WU-061
17608699,uh uh yuck that's not that's not food,43,WU-061
17608843,no no mouth it's not food,58,WU-061
17609249,yuck that's not food,282,WU-061
17609280,it's not a very good cow,195,WU-061
17609298,that's not a very good cow is it,204,WU-061
17609647,I'm not f one,5,WU-061
17609668,you're not f one,7,WU-061
17609693,Mommy please please we're gonna play doctor Lisa not pack we're gonna,637,WU-061
17610677,this is not a particularly easy puzzle is it,655,WU-061
17610765,oh no maybe not cause that's its belly,662,WU-061
17610840,yyy no I want that there not the sauce part,921,WU-061
17611137,it's not a faucet it's a child,496,WU-061
17611410,oh they're not milk flavor,1755,WU-061
17611708,xxx is not a present,1298,WU-061
17611757,no that's not a yodeling voice that's a yyy voice,1286,WU-061
17611940,not tea but I'll give you a different drink,70,WU-061
17612046,this is actually not a honey a a blueberry cookie,1800,WU-061
17612410,but it's not a square or a diamond,581,WU-061
17612539,xxx but you are not a teacher,1832,WU-061
17612628,this is not the school,1838,WU-061
17613811,not sugar xxx,409,WU-061
17614496,it's not a hat is it,594,WU-061
17614500,not a hat is it,596,WU-061
17614503,say it's not a hat mama,597,WU-061
17614513,no it's not a hat,601,WU-061
17615081,we know it's not that glamorous but it's our favorite thing,707,WU-061
17615133,hm that's not the one I know,1060,WU-061
17615173,I just mean a little tiny trim not a big haircut,450,WU-061
17615799,no it's not seven thirty,881,WU-061
17615931,not tahini tahini,999,WU-061
17615943,not tahini tahini not tahini tahini hini,1000,WU-061
17616461,not this one,944,WU-061
17616650,that doesn't happen very often but when it happens it's not a good thing,757,WU-061
17616677,the only thing I'm not positive is if,54,WU-061
17617528,this is not part of what you had,524,WU-061
17617752,there really is not one here,1128,WU-061
17617828,not the Tig part,1238,WU-061
17617890,well you not her mother you the,1148,WU-061
17619736,well any kind of oil that's not an edible oil is bad to eat,1096,WU-061
17620151,that's not the same baby though is it,179,WU-061
17620580,it's not the right kind of soil or what,90,WU-061
17621160,I'm not f two,887,WU-061
17621166,you're not f two,888,WU-061
17621181,that's why it's not sticky,1094,WU-061
17621195,that's not right is it,895,WU-061
17622799,well that's not a quarter no,425,WU-061
17622969,not yuck cause that isn't yucky,1369,WU-061
17623179,no not this one,465,WU-061
17623781,not this one I want a mushroom please,392,WU-061
