id,negation_utterance,negation_utterance_order,work_unit_id
17279611,I know you're gonna get mad at me but it's not a toy c'mon,900,WU-049
17280606,no that's not a t it's an arrow,564,WU-049
17281666,no that's not a t+rex that's a xxx that other one I can't think of it,627,WU-049
17283439,no that's not a t,577,WU-049
17284700,well there's not a single one there,882,WU-049
17285391,it's not a hat,867,WU-049
17287620,not an emergency or xxx,1138,WU-049
17288635,no don't kiss the play+dough you give Mommy kisses not the play+dough,942,WU-049
17289028,that's not Buddy that's Amanda,99,WU-049
17289840,that is not a triangle,165,WU-049
17289855,not a square,166,WU-049
17289868,it's not a square,167,WU-049
17289897,not a circle,169,WU-049
17289908,not an oval,170,WU-049
17289959,that's not music,1101,WU-049
17290610,no that's not the,84,WU-049
17291275,no not my hair,291,WU-049
17291985,no not Teletubbies,1393,WU-049
17294099,no that's not cheese that's butter silly,411,WU-049
17294227,no that's not a bean,421,WU-049
17294257,no that's not cheese,423,WU-049
17294380,that's not your stuff so please don't touch it,36,WU-049
17294950,a small piece just break a small well not that small it can be bigger,276,WU-049
17295505,no that's not a ear it's a purple tongue,134,WU-049
17296045,no not this year February,363,WU-049
17297677,that's not a good idea,166,WU-049
17298093,no that's not a monster,1247,WU-049
17298665,no no not those you can leave that there,552,WU-049
17300607,no that's not an apple honey that is a tomato,909,WU-049
17301455,that's not Anne,412,WU-049
17302756,that's pretend that's pretend it's not a real pig,504,WU-049
17303481,that's not a grasshopper what is this,551,WU-049
17303624,no not the grapes,561,WU-049
17304353,not a black tongue,427,WU-049
17304813,no no not the sock,113,WU-049
17307320,no that's not an i,383,WU-049
17308225,no that's not Dada,933,WU-049
17308584,no that's not numbers that's the shape,1143,WU-049
17308626,no that is not a triangle you silly,1145,WU-049
17311777,no that's not a nose,483,WU-049
17311995,not a kangaroo that is tyrannosaurus,1154,WU-049
17312229,oh it's not it's not a big deal hon I don't think,1158,WU-049
17314264,move your fingers please I'm not move your fingers when I'm done you can do it xxx okay,770,WU-049
17314730,ooh how about your xxx no that's not a stegosaurus,797,WU-049
17315484,no not this minute wait a minute we don't have all the stuff,140,WU-049
17316492,no it is not a trapezoid,901,WU-049
17317400,that's not a moon,1456,WU-049
17318647,not this coming Wednesday but the Wednesday after,533,WU-049
17318777,that's not a moon,1535,WU-049
17318790,no no that's not an oops,544,WU-049
