id,negation_utterance,negation_utterance_order,work_unit_id
8749791,it's not the right time of year to be singing Jingle_Bells,1437,WU-039
8750450,that's not a very nice game is it,1358,WU-039
8750494,that one's not a very nice game,1360,WU-039
8750909,not Mum,118,WU-039
8751098,not the little sticks,307,WU-039
8751100,not the little sticks,309,WU-039
8751230,not tomato sauce,549,WU-039
8751413,not eleven o'clock,736,WU-039
8751691,it's not a dinner ready yet moo+cow and little girl,1177,WU-039
8751781,it's not a biscuit,1262,WU-039
8752157,lunch not dinner,845,WU-039
8752261,not dinner,850,WU-039
8752761,it's not Rosie and Jim,858,WU-039
8752816,it's not talcum powder,987,WU-039
8753116,it's not a tiger,840,WU-039
8753532,not four,681,WU-039
8754200,it's not Morag you know,1691,WU-039
8754209,you're not a little dolly,942,WU-039
8754222,not this one,507,WU-039
8754582,not the thorough+bred I useta be Nicole,1368,WU-039
8754609,not the race+horse I useta,1370,WU-039
8754875,it's not English that,1598,WU-039
8755015,not pizza,1404,WU-039
8755180,it's not cheese,1129,WU-039
8755447,not hippopotamus,978,WU-039
8756111,it's not the tellie that's broken,1826,WU-039
8756140,not the tellie,1828,WU-039
8756231,not brussels,427,WU-039
8756479,it's not a baby,1547,WU-039
8756719,that not the the driver,1057,WU-039
8757157,that's not the way is it,1091,WU-039
8757660,not a green man,98,WU-039
8757931,that's not a hen sat on a nest and the cockerel,968,WU-039
8758419,it's not a crab,223,WU-039
8759765,not this week,1750,WU-039
8760358,not dolly bottle,915,WU-039
8762341,not ladys,494,WU-039
8762438,it's not a triangle,1360,WU-039
8762513,not car,1367,WU-039
8762707,not chicken leg,1616,WU-039
8762738,not a very good one though is it,1395,WU-039
8763774,they're not diamonds,803,WU-039
8763892,that's not a Mama,40,WU-039
8764036,that's not a Mama,51,WU-039
8764444,not a lot,83,WU-039
8764459,not a lot,84,WU-039
8766915,not while Anna's here,7,WU-039
8767565,why not Mummy,85,WU-039
8767589,that's not Bobby bear,330,WU-039
8768231,not Ruth,414,WU-039
