id,negation_utterance,negation_utterance_order,work_unit_id
8463963,not a snake,1274,WU-018
8464360,that's not a bull,1267,WU-018
8464402,that's not a bull,1270,WU-018
8464406,not a big car,912,WU-018
8464561,not a little neck like yours,1284,WU-018
8464679,it's not that bad is it,681,WU-018
8465044,not her feet on,1101,WU-018
8465075,that's not a big one is it,1094,WU-018
8465100,that's not a big hoop look,1096,WU-018
8465151,no that's not a square,1364,WU-018
8465613,not a man,1149,WU-018
8465915,it's not a goat,1033,WU-018
8466867,it's not a very good train then is it,138,WU-018
8466960,that's not your brush anyway,143,WU-018
8467236,not car,70,WU-018
8467240,not cars,71,WU-018
8467269,not car,75,WU-018
8467281,not cars,77,WU-018
8467404,that's not that's not your bag is it,174,WU-018
8467433,it's not your bag,178,WU-018
8467460,that's not your bag is it,182,WU-018
8468795,that not lorry,403,WU-018
8468852,not train track,302,WU-018
8468858,not train track please,303,WU-018
8468863,I know but it's not a very good house any more,381,WU-018
8469244,not ambulance,469,WU-018
8469829,I not a frog,1219,WU-018
8470084,they're not oranges anyway,1489,WU-018
8470201,it's not the same as your um ambulance,433,WU-018
8470257,not the same as your ambulance Dominic,435,WU-018
8470809,not Thomas,455,WU-018
8470840,it's not Thomas is it,457,WU-018
8470881,not ribena rabbit,584,WU-018
8470885,it's not that bad is it,571,WU-018
8470902,not a ribena rabbit,585,WU-018
8470980,not ribena rabbit,590,WU-018
8470992,it's not a little boy,1285,WU-018
8471480,not Thomas,479,WU-018
8471514,not Thomas,481,WU-018
8471526,definitely not Thomas,482,WU-018
8471884,not Thomas,502,WU-018
8471917,not Thomas,504,WU-018
8471994,and it's not a xxx,729,WU-018
8471999,it's not a blue car,1347,WU-018
8472370,that is not a dog,655,WU-018
8473373,it's not a goat,1352,WU-018
8473875,not Ribena,702,WU-018
8474055,not glass,641,WU-018
8474117,not Thomas,646,WU-018
8474128,not Thomas,647,WU-018
