id,negation_utterance,negation_utterance_order,work_unit_id
8503604,not cars,539,WU-022
8503633,not cars,540,WU-022
8503736,Dominic not pockets,1648,WU-022
8503912,not my hat,1235,WU-022
8504746,not Thomes,14,WU-022
8504819,it's not Gordon,1355,WU-022
8504826,that not Toby,18,WU-022
8504834,not Gordon,1356,WU-022
8504873,it's not Gordon,1358,WU-022
8504902,not Gordon,1359,WU-022
8504916,it's not Thomas either,1360,WU-022
8504979,it's not his favorite at all,407,WU-022
8505233,not hippo,1349,WU-022
8505288,they're not balls,230,WU-022
8505752,my name is not Nina,445,WU-022
8505825,not your holiday money,1219,WU-022
8505934,not Mummy,1225,WU-022
8506007,it's not two yellow,1574,WU-022
8506621,it's not a tunnel,1259,WU-022
8506670,that's not a hook,295,WU-022
8506728,not Thomas,809,WU-022
8506962,not horse,1396,WU-022
8506978,not the horse,1397,WU-022
8507054,it's not your sister's doll is it,1572,WU-022
8507258,it's not a gate,1664,WU-022
8507338,if it's not a gate what could it be,1667,WU-022
8508059,not cat,1640,WU-022
8508171,not cat,1646,WU-022
8508315,that's not burgers actually,1459,WU-022
8508370,you're not a girl,384,WU-022
8508903,why not Daddy,917,WU-022
8509102,it's not a broken one,1404,WU-022
8509268,and and not Percy,193,WU-022
8509312,not a hooter,630,WU-022
8509316,but that one's not a new one,429,WU-022
8509461,not Gordon,1591,WU-022
8509478,it's not Gordon,1592,WU-022
8509484,not ambulance,949,WU-022
8509495,not horse on there,1405,WU-022
8509508,not Gordon,1594,WU-022
8509587,it's not special at all,644,WU-022
8509593,not ambulance,955,WU-022
8509797,because you're not being a good boy though are you,655,WU-022
8509840,who's that then if that's not Pooh_Bear,1446,WU-022
8509898,it's not a good place to put it,841,WU-022
8509942,not Pooh_Bear,1452,WU-022
8509959,not Pooh_Bear,1453,WU-022
8510136,that's not dolly,1819,WU-022
8510373,not a train,886,WU-022
8510507,not Thomas,1485,WU-022
