id,negation_utterance,negation_utterance_order,contrast_utterance,contrast_utterance_order,valid_contrast,negated_noun,contrast_noun,annotator,notes,work_unit_id
8268758,no not Anne,1315,,,TRUE,Anne,xxx,Jess,,SAMPLE-002
8268767,that's not the Mummy is it,274,,,TRUE,the Mummy,xxx,Jess,,SAMPLE-002
8268857,not Rusty,6,,,TRUE,Rusty,xxx,Jess,,SAMPLE-002
8268894,that not Rusty,8,,,TRUE,Rusty,xxx,Jess,,SAMPLE-002
8268974,not the donkey,12,,,TRUE,the donkey,xxx,Jess,,SAMPLE-002
8268976,not my stocking really,529,,,TRUE,my stocking,xxx,Jess,,SAMPLE-002
8271367,me that not my stocking,660,I thought we could use your slipper,662,TRUE,stocking,slipper,Jess,,SAMPLE-002
8271379,that's not a gate is it,400,you want a fence,409,TRUE,gate,fence,Jess,,SAMPLE-002
8271756,there's not room on that settee,1608,,,TRUE,room,xxx,Jess,,SAMPLE-002
8271841,there's not room on that settee,1613,,,TRUE,room,xxx,Jess,,SAMPLE-002
8271911,that's not a gate,429,that's a wall isn't it,430,TRUE,gate,wall,Jess,,SAMPLE-002
8272073,they're not her clothes are they,465,,,TRUE,her clothes,xxx,Jess,,SAMPLE-002
8272390,that's not your head,466,what've you been doing to your leg,460,TRUE,your head,your leg,Jess,,SAMPLE-002
8272512,there's not room for me over there,1651,,,TRUE,room,xxx,Jess,,SAMPLE-002
8273281,there's not room for me then is it,1008,,,FALSE,,,Jess,,SAMPLE-002
8273901,not his mouth,1334,,,TRUE,his mouth,xxx,Jess,,SAMPLE-002
8274360,not your turn yet,70,,,TRUE,your turn,xxx,Jess,,SAMPLE-002
8274371,not a very good table is it,552,,,TRUE,a very good table,xxx,Jess,,SAMPLE-002
8274945,not room for the food if Caitlin's on the table,584,,,FALSE,,,Jess,,SAMPLE-002
8275040,that's not Mummy,583,,,TRUE,Mummy,xxx,Jess,"""this""",SAMPLE-002
8275595,that's his foot not his ear,1762,want ear,1763,TRUE,his foot,his ear,Jess,,SAMPLE-002
8276281,not the candles,157,you an eat a cake but not the candles,158,TRUE,the candles,a cake,Jess,,SAMPLE-002
8276311,you an eat a cake but not the candles,158,not the candles,157,TRUE,a cake,the candles,Jess,,SAMPLE-002
8277071,that's not a key hole,1729,,,TRUE,a key hole,xxx,Jess,,SAMPLE-002
8277230,you just had a drink not five minutes ago,197,,,FALSE,,,Jess,,SAMPLE-002
8277634,nots fits,704,,,FALSE,,,Jess,,SAMPLE-002
8277639,it's not your cup of tea,702,,,TRUE,your cup,xxx,Jess,,SAMPLE-002
8278252,that's not a rocker,731,little cot,737,TRUE,a rocker,little cot,Jess,,SAMPLE-002
8278443,not a moles,460,that's babys,459,TRUE,babys,a mole,Jess,,SAMPLE-002
8278446,it's not a rocker,740,little cot,737,TRUE,a rocker,little cot,Jess,,SAMPLE-002
8278521,this one's not a baby,464,,,TRUE,a baby,xxx,Jess,,SAMPLE-002
8278534,it's not a very good drawing is it,257,,,TRUE,a very good drawing,xxx,Jess,,SAMPLE-002
8278632,that's not a bath,1006,,,TRUE,a bath,xxx,Jess,,SAMPLE-002
8279572,that's not an animal is it,809,,,TRUE,an animal,xxx,Jess,,SAMPLE-002
8279765,that not a little pond,317,it's a big pond,319,TRUE,a little pond,a big pond,Jess,,SAMPLE-002
8280284,not a peep,1211,,,FALSE,,,Jess,,SAMPLE-002
8281446,you not a bit old,892,I'm a little girl,896,TRUE,a bit old,a little girl,Jess,,SAMPLE-002
8281470,I'm not a what,893,,,FALSE,,,Jess,,SAMPLE-002
8281490,not a bit old,894,I'm a little girl,896,TRUE,a bit old,a little girl,Jess,,SAMPLE-002
8281595,that's not a seesaw,1629,it's a table,1631,TRUE,a seesaw,a table,Jess,,SAMPLE-002
8282332,there's not room is there,1181,,,FALSE,,,Jess,,SAMPLE-002
8283155,they're not Anne,397,,,TRUE,Anne,xxx,Jess,,SAMPLE-002
8284125,that not a good one,1017,that that that's a good one,1019,TRUE,a good one,xxx,Jess,,SAMPLE-002
8284140,it's not a good one,1018,,,FALSE,,,Jess,,SAMPLE-002
8284248,not a good one,1025,,,FALSE,,,Jess,,SAMPLE-002
8285111,not Mummy is it,1458,is it Daddy,1460,TRUE,Mommy,Daddy,Jess,,SAMPLE-002
8285374,not a peep,1474,,,FALSE,,,Jess,,SAMPLE-002
8285962,not Grandma,1142,it was Aunty_Sandy wasn't it,1143,TRUE,Grandma,Aunty_Sandy,Jess,,SAMPLE-002
8286025,it's not glen is it,845,it's green,847,TRUE,glen,green,Jess,,SAMPLE-002
8286454,well there's there's not a lot to read,1541,,,FALSE,,,Jess,,SAMPLE-002
